,genre,topic,target_set,effect_size,word_scores
10,,body_girl_baby,Strenght words,1.123997449874878,"[{'target_word': 'bold', 'scweat_score': 0.06006458}, {'target_word': 'leader', 'scweat_score': 0.04650186}, {'target_word': 'strong', 'scweat_score': 0.09857727}, {'target_word': 'command', 'scweat_score': -0.0072793067}, {'target_word': 'shout', 'scweat_score': 0.029376134}, {'target_word': 'winner', 'scweat_score': -0.009911478}, {'target_word': 'power', 'scweat_score': 0.08047435}, {'target_word': 'confident', 'scweat_score': 0.032693535}, {'target_word': 'loud', 'scweat_score': 0.019927382}]"
11,,body_girl_baby,Weakness words,0.12477326393127441,"[{'target_word': 'loser', 'scweat_score': 0.18211499}, {'target_word': 'lose', 'scweat_score': -0.11190882}, {'target_word': 'weak', 'scweat_score': 0.09057701}, {'target_word': 'weakness', 'scweat_score': -0.091531485}, {'target_word': 'shy', 'scweat_score': 0.009980872}, {'target_word': 'surrender', 'scweat_score': 0.013566308}, {'target_word': 'follow', 'scweat_score': -0.05707574}, {'target_word': 'afraid', 'scweat_score': 0.056250736}]"
12,,tears_heart_wish,Pleasant,-0.23774920403957367,"[{'target_word': 'friend', 'scweat_score': -0.09065959}, {'target_word': 'joy', 'scweat_score': -0.03954023}, {'target_word': 'wonderful', 'scweat_score': 0.06968549}, {'target_word': 'vacation', 'scweat_score': 0.053321764}, {'target_word': 'love', 'scweat_score': -0.22387382}, {'target_word': 'honest', 'scweat_score': 0.010158867}, {'target_word': 'honor', 'scweat_score': 0.014793306}, {'target_word': 'pleasure', 'scweat_score': -0.028646931}, {'target_word': 'loyal', 'scweat_score': 0.015883174}, {'target_word': 'family', 'scweat_score': -0.14136657}, {'target_word': 'peace', 'scweat_score': 0.03686802}, {'target_word': 'heaven', 'scweat_score': -0.035545766}, {'target_word': 'cheer', 'scweat_score': 0.039119408}, {'target_word': 'freedom', 'scweat_score': -0.021156609}, {'target_word': 'gentle', 'scweat_score': -0.049168617}, {'target_word': 'happy', 'scweat_score': -0.046524808}, {'target_word': 'paradise', 'scweat_score': -0.010893509}, {'target_word': 'diamond', 'scweat_score': -0.03969574}, {'target_word': 'laughter', 'scweat_score': -0.035143524}, {'target_word': 'sunrise', 'scweat_score': 0.0976568}, {'target_word': 'gift', 'scweat_score': 0.07242158}, {'target_word': 'health', 'scweat_score': -0.18538365}, {'target_word': 'rainbow', 'scweat_score': 0.032020956}, {'target_word': 'caress', 'scweat_score': -0.05750829}, {'target_word': 'lucky', 'scweat_score': 0.0045758784}, {'target_word': 'miracle', 'scweat_score': 0.08432774}]"
13,,tears_heart_wish,Unpleasant,-0.022293834015727043,"[{'target_word': 'terrible', 'scweat_score': 0.066612735}, {'target_word': 'prison', 'scweat_score': 0.06198165}, {'target_word': 'war', 'scweat_score': 0.012718111}, {'target_word': 'sickness', 'scweat_score': 0.007883698}, {'target_word': 'abuse', 'scweat_score': -0.026585538}, {'target_word': 'tragedy', 'scweat_score': -0.0023183823}, {'target_word': 'crash', 'scweat_score': -0.07926777}, {'target_word': 'poison', 'scweat_score': -0.042211406}, {'target_word': 'nasty', 'scweat_score': -0.021412477}, {'target_word': 'awful', 'scweat_score': 0.055832505}, {'target_word': 'grief', 'scweat_score': -0.08842908}, {'target_word': 'disaster', 'scweat_score': 0.08728325}, {'target_word': 'ugly', 'scweat_score': -0.056619808}, {'target_word': 'failure', 'scweat_score': 0.121489815}, {'target_word': 'bomb', 'scweat_score': -0.017327279}, {'target_word': 'kill', 'scweat_score': -0.13704258}, {'target_word': 'death', 'scweat_score': -0.012557786}, {'target_word': 'murder', 'scweat_score': 0.11326876}, {'target_word': 'evil', 'scweat_score': -0.07724522}, {'target_word': 'agony', 'scweat_score': 0.0036628693}]"
14,,tears_heart_wish,Appearance words,-0.4641258716583252,"[{'target_word': 'thin', 'scweat_score': 0.047847077}, {'target_word': 'pretty', 'scweat_score': 0.01917991}, {'target_word': 'strong', 'scweat_score': -0.04599473}, {'target_word': 'weak', 'scweat_score': -0.02677092}, {'target_word': 'ugly', 'scweat_score': -0.056619808}, {'target_word': 'beautiful', 'scweat_score': -0.04394266}]"
15,,tears_heart_wish,Intelligence words,1.84377920627594,"[{'target_word': 'smart', 'scweat_score': 0.10524775}, {'target_word': 'brilliant', 'scweat_score': 0.048097383}, {'target_word': 'clever', 'scweat_score': 0.06436609}, {'target_word': 'wise', 'scweat_score': 0.016990185}]"
16,,tears_heart_wish,Strenght words,-0.031329188495874405,"[{'target_word': 'bold', 'scweat_score': 0.111824885}, {'target_word': 'strong', 'scweat_score': -0.04599473}, {'target_word': 'command', 'scweat_score': -0.09916855}, {'target_word': 'shout', 'scweat_score': -0.014418654}, {'target_word': 'winner', 'scweat_score': 0.080449805}, {'target_word': 'power', 'scweat_score': -0.09227477}, {'target_word': 'succeed', 'scweat_score': 0.013861239}, {'target_word': 'loud', 'scweat_score': 0.02787061}]"
17,,tears_heart_wish,Weakness words,-0.43630799651145935,"[{'target_word': 'loser', 'scweat_score': 0.057265997}, {'target_word': 'failure', 'scweat_score': 0.121489815}, {'target_word': 'lose', 'scweat_score': -0.22608064}, {'target_word': 'weak', 'scweat_score': -0.02677092}, {'target_word': 'weakness', 'scweat_score': -0.09272738}, {'target_word': 'shy', 'scweat_score': 0.041318804}, {'target_word': 'surrender', 'scweat_score': -0.07876274}, {'target_word': 'follow', 'scweat_score': -0.14128268}, {'target_word': 'fragile', 'scweat_score': -0.0025641918}, {'target_word': 'vulnerable', 'scweat_score': -0.07529431}, {'target_word': 'afraid', 'scweat_score': -0.021398894}]"
18,,jesus_praise_lord,Pleasant,-0.0645693764090538,"[{'target_word': 'friend', 'scweat_score': 0.12865683}, {'target_word': 'joy', 'scweat_score': 0.08590099}, {'target_word': 'wonderful', 'scweat_score': 0.10085402}, {'target_word': 'love', 'scweat_score': 0.15106742}, {'target_word': 'honest', 'scweat_score': -0.09179634}, {'target_word': 'honor', 'scweat_score': 0.09426239}, {'target_word': 'pleasure', 'scweat_score': 0.027179632}, {'target_word': 'family', 'scweat_score': -0.07122034}, {'target_word': 'peace', 'scweat_score': 0.10526827}, {'target_word': 'heaven', 'scweat_score': 0.09072753}, {'target_word': 'cheer', 'scweat_score': -0.08573427}, {'target_word': 'freedom', 'scweat_score': 0.05565868}, {'target_word': 'gentle', 'scweat_score': -0.18582752}, {'target_word': 'happy', 'scweat_score': -0.17878078}, {'target_word': 'paradise', 'scweat_score': 0.044913143}, {'target_word': 'diamond', 'scweat_score': -0.07185565}, {'target_word': 'laughter', 'scweat_score': -0.08996558}, {'target_word': 'sunrise', 'scweat_score': -0.10236601}, {'target_word': 'gift', 'scweat_score': 0.1992532}, {'target_word': 'health', 'scweat_score': -0.012696356}, {'target_word': 'rainbow', 'scweat_score': -0.05521421}, {'target_word': 'caress', 'scweat_score': -0.21661331}, {'target_word': 'lucky', 'scweat_score': -0.1125889}, {'target_word': 'miracle', 'scweat_score': 0.016629785}]"
19,,jesus_praise_lord,Unpleasant,-0.6361798048019409,"[{'target_word': 'terrible', 'scweat_score': -0.04894206}, {'target_word': 'prison', 'scweat_score': -0.07942283}, {'target_word': 'war', 'scweat_score': 0.07861951}, {'target_word': 'poverty', 'scweat_score': -0.110495344}, {'target_word': 'sickness', 'scweat_score': -0.022995606}, {'target_word': 'abuse', 'scweat_score': -0.123547345}, {'target_word': 'tragedy', 'scweat_score': -0.102944866}, {'target_word': 'hatred', 'scweat_score': -0.016445428}, {'target_word': 'awful', 'scweat_score': -0.03420969}, {'target_word': 'grief', 'scweat_score': -0.22459248}, {'target_word': 'ugly', 'scweat_score': -0.12924235}, {'target_word': 'failure', 'scweat_score': -0.1133917}, {'target_word': 'jail', 'scweat_score': -0.18249539}, {'target_word': 'kill', 'scweat_score': -0.08377486}, {'target_word': 'death', 'scweat_score': 0.21037121}, {'target_word': 'evil', 'scweat_score': 0.012892306}, {'target_word': 'agony', 'scweat_score': -0.08268168}]"
